Date,Ref No,Trans Description,Setl No,Buy/Cr,Sell/Dr,Balance
ISIN: INE776C01039,ISIN Name: GMR AIRPOR - EQ RE 1,,,,,
2024-03-01 00:00:00,,Opening Balance,,,,0.0
2024-06-14 00:00:00,261798,CREDIT On Market 1208870000010189,,25.0,,25.0
2024-07-18 00:00:00,94149519,DEBIT On Market 1100001100021102,1211232024134.0,,15.0,10.0
2024-07-19 00:00:00,94149519,CREDIT On Market 1100001100021102,1211232024134.0,15.0,,25.0
2024-07-19 00:00:00,94149519,DEBIT On Market 1100001100021102,1211232024134.0,,15.0,10.0
2024-07-22 00:00:00,98090042,DEBIT On Market 1100001100021102,1211232024135.0,,5.0,0.0
2024-07-22 00:00:00,98090042,CREDIT On Market 1100001100021102,1211232024135.0,5.0,,5.0
2024-07-25 00:00:00,922455,CREDIT On Market 1208870000010189,,5.0,,10.0
2024-08-20 00:00:00,280951,CREDIT On Market 1208870000010189,,15.0,,25.0
2024-11-27 00:00:00,,Closing Balance,,,,25.0
ISIN: INE484J01027,ISIN Name: GODREJ PROPER EQ 5/-,,,,,
